"Book","DMC","TechName","IssueNumber","IssueYear","IssueMonth","IssueDay","DMC_ID","EMODBuild","ICNCollection","ICNCount"
"AMM","DMC-1KC46-A-05-05-0500-07A0A-280A-A","Aircrew Member Compartment (ACMC) - QT Inspection","004","2017","08","22","I34C923A1BA713BDFFB80D9A13BCCA82","","","0"
"AMM","DMC-1KC46-A-05-05-0500-08A0A-280A-A","Main Deck Cargo Compartment (MDCC) - QT Inspection","004","2017","08","22","G83F72EE3819687873078D98B4E9B004","","","0"
"AMM","DMC-1KC46-A-05-05-0500-09A0A-280A-A","Airplane Exterior - QT Inspection","006","2018","04","22","L05388AAD30CA4CEACCE23CA71A2AFCE","","ICN-81205-KA05050021-002-01,ICN-81205-KA05050042-002-01,ICN-81205-KA05050043-002-01,ICN-81205-KA06210003-001-01,ICN-81205-KA06210004-002-01,ICN-81205-KA06210005-002-01,ICN-81205-KA06210008-002-01,ICN-81205-KA06240001-002-01","8"
"AMM","DMC-1KC46-A-05-05-0500-10A0A-280A-A","General - QT","002","2018","04","22","JA05FF03AA6B76845AAAA979F74E9787","","","0"
"AMM","DMC-1KC46-A-05-05-0700-01A0A-010A-A","ALERT - MAINTENANCE PRACTICES","005","2017","08","22","EEBAF92A604F8808E3EE4A2DACA39E80","","","0"
"AMM","DMC-1KC46-A-05-05-0700-03A0A-020A-A","Preparation","004","2018","04","22","F3B51E8829DB3BB4FF28AAE5F416E70B","","ICN-81205-KA05050044-002-01","1"
"AMM","DMC-1KC46-A-05-05-0700-04A0A-020A-A","Return The Airplane to its Usual Condition - AL","004","2017","08","22","I4CB4D32EE282BCCE7F35298C04D5FF4","","","0"
"AMM","DMC-1KC46-A-05-05-0700-05A0A-200A-A","Service - AL","003","2017","08","22","IC544EDB3EB87419685DCC35BBE0D96F","","","0"
"AMM","DMC-1KC46-A-05-05-0700-06A0A-200A-A","Special Service - AL ","003","2017","08","22","DF041FE1FC634FF6978949A5D27A0119","","","0"
"AMM","DMC-1KC46-A-05-05-0700-07A0A-280A-A","Flight Compartment - AL Inspection","004","2017","10","22","E96EDD23CF44DAE55CC120B7C27EEE0C","","ICN-81205-KA05050045-002-01","1"
"AMM","DMC-1KC46-A-05-05-0700-08A0A-280A-A","Aircrew Member Compartment (ACMC) - AL Inspection","003","2017","08","22","KE271159650DCD3832B3CB369BB3E53D","","ICN-81205-KA05050046-002-01","1"
"AMM","DMC-1KC46-A-05-05-0700-09A0A-280A-A","Main Deck Cargo Compartment (MDCC) - AL Inspection","003","2017","08","22","BA70E0244D5B30C3B148B32C6E64F046","","","0"
"AMM","DMC-1KC46-A-05-05-0700-10A0A-310A-A","Airplane Exterior - AL Inspection","005","2017","10","22","D908D313CFFD1FE8DF0679C5B8D55AE1","","ICN-81205-KA05050021-002-01,ICN-81205-KA05050047-002-01,ICN-81205-KA05050048-002-01,ICN-81205-KA06210003-001-01,ICN-81205-KA06210004-002-01,ICN-81205-KA06210005-002-01,ICN-81205-KA06210008-002-01,ICN-81205-KA06240001-002-01","8"
"AMM","DMC-1KC46-A-05-05-0700-11A0A-280A-A","General - AL","001","2017","08","22","I429591F2A2E8F4FC01EA0219CD07CB3","","","0"
"AMM","DMC-1KC46-A-05-05-0800-01A0A-010A-A","PRE-LAUNCH - MAINTENANCE PRACTICES","005","2017","08","22","H1624E2C77A9E6B5551449E57E03AA8F","","","0"
"AMM","DMC-1KC46-A-05-05-0800-02A0A-280A-A","Pre-Launch Inspection","005","2017","08","22","FC65BF48D23FF4A0EAEF4A3944193D5D","","","0"
"AMM","DMC-1KC46-A-05-05-0800-03A0A-280A-A","General - PLI","001","2017","08","22","AB1096615103F73C1A63B7503B2DC51A","","","0"
"AMM","DMC-1KC46-A-05-05-0900-01A0A-010A-A","COMBINED PREFLIGHT/BASIC POSTFLIGHT - MAINTENANCE PRACTICES","004","2017","08","22","CEE2B888C967D2B0A61AA9A07D37A74B","","","0"
"AMM","DMC-1KC46-A-05-05-0900-02A0A-020A-A","Preparation","004","2017","10","22","N709F55219D0CCD4F01AC37099548111","","ICN-81205-KA05050049-001-01","1"
"AMM","DMC-1KC46-A-05-05-0900-03A0A-020A-A","Return the Airplane to its Usual Condition","004","2017","10","22","I51EB01256ECD01A93438423685BC4C1","","ICN-81205-KA05050049-001-01","1"
"AMM","DMC-1KC46-A-05-05-0900-04A0A-200A-A","Service - PR/BPO","005","2018","04","22","K7956819E0AB086798D995DF4523F445","","","0"
"AMM","DMC-1KC46-A-05-05-0900-05A0A-280A-A","Flight Compartment - PR/BPO Inspection","006","2017","12","22","JED38D3629EEF6436E043C81516E863E","","ICN-81205-KA05050051-002-01,ICN-81205-KA05050052-002-01,ICN-81205-KA05050053-002-01,ICN-81205-KA05050064-002-01,ICN-81205-KA05050065-002-01,ICN-81205-KA05050066-002-01","6"
"AMM","DMC-1KC46-A-05-05-0900-06A0A-280A-A","Aircrew Member Compartment (ACMC) ? PR/BPO Inspection","005","2017","10","22","J8AE127AA5CCF3B1F3C35B0934CFC5D9","","ICN-81205-KA05050054-002-01,ICN-81205-KA05050055-002-01,ICN-81205-KA05050064-002-01,ICN-81205-KA05050065-002-01,ICN-81205-KA05050066-002-01,ICN-81205-KA05050069-002-01,ICN-81205-KA28530011-001-01,ICN-81205-KA33210007-002-01,ICN-81205-KA33210008-002-01,ICN-81205-KA33210009-002-01,ICN-81205-KA33210010-002-01","11"
"AMM","DMC-1KC46-A-05-05-0900-07A0A-280A-A","Main Deck Cargo Compartment (MDCC) ? PR/BPO Inspection","005","2017","10","22","H598A817CA482BCF48D6F192E6C21FB5","","","0"
"AMM","DMC-1KC46-A-05-05-0900-08A0A-280A-A","Airplane Exterior - PR/BPO Inspection","005","2017","10","22","P17EF56DCD1675E8935CEE0AEF55ADAC","","ICN-81205-KA05050052-002-01,ICN-81205-KA05050053-002-01,ICN-81205-KA05050057-002-01,ICN-81205-KA05050058-002-01,ICN-81205-KA05050059-002-01,ICN-81205-KA05050060-002-01,ICN-81205-KA06210003-001-01,ICN-81205-KA06210004-002-01,ICN-81205-KA06210005-002-01,ICN-81205-KA06210008-002-01,ICN-81205-KA06240001-002-01","11"
"AMM","DMC-1KC46-A-05-05-0900-09A0A-280A-A","General - PR/BPO","002","2018","04","22","I2FA200449648586868800AF0FF1055D","","","0"
"AMM","DMC-1KC46-A-05-41-0100-01A0A-010A-A","ZONE 100 - LOWER FUSELAGE - MAINTENANCE PRACTICES","003","2017","10","22","E7A342A65AC9542C89DB2F13E02C1B19","","","0"
"AMM","DMC-1KC46-A-05-41-0100-02A0A-310A-A","EXTERNAL - ZONAL (GV): Lower Half of Fuselage - Exterior ","001","2015","12","22","PFE34CA5EB1BC563400EC3B3DB3F2DE7","","","0"
"AMM","DMC-1KC46-A-05-41-0100-03A0A-310A-A","INTERNAL - ZONAL (GV): Radome","001","2015","12","22","I1AD6CEE75E224097081744A6E7EEBA7","","","0"
"AMM","DMC-1KC46-A-05-41-0100-04A0A-310A-A","INTERNAL - ZONAL (GV): Area Forward of Nose Landing Gear Wheel Well ","002","2016","12","22","F1A3E77373E4678E16E3C20DF40EAC73","","","0"
"AMM","DMC-1KC46-A-05-41-0100-05A0A-310A-A","INTERNAL - ZONAL (GV): Nose Landing Gear Wheel Well ","002","2016","12","22","A717E3D2FDE28F4F435A0A0AA8712927","","","0"
"AMM","DMC-1KC46-A-05-41-0100-06A0A-310A-A","INTERNAL - ZONAL (GV): Area Outboard and Above Nose Landing Gear Wheel Well ","002","2016","12","22","N3CC7A29FFBAA62013F3D7A5740F7902","","","0"
"AMM","DMC-1KC46-A-05-41-0100-07A0A-310A-A","EXTERNAL - ZONAL (GV): Main Equipment Center","001","2015","12","22","D47493B7900E793A2048DB6684E0EAD7","","","0"
"AMM","DMC-1KC46-A-05-41-0100-08A0A-310A-A","INTERNAL - ZONAL (GV): Main Equipment Center ","002","2016","12","22","G5F0B61EFCDD1D4D9A5D79A569DA42BF","","","0"
"AMM","DMC-1KC46-A-05-41-0100-09A0A-310A-A","INTERNAL - ZONAL (GV): Forward Lower Lobe Compartment ","001","2015","12","22","A0517074B020186655B55B110DF225FB","","","0"
"AMM","DMC-1KC46-A-05-41-0100-10A0A-310A-A","INTERNAL - ZONAL (GV): Forward Lower Lobe Compartment ","002","2016","12","22","MCA9E4F432FD4F2BC748C526A5B46639","","","0"
"AMM","DMC-1KC46-A-05-41-0100-11A0A-310A-A","INTERNAL - ZONAL (GV): Area Below Forward Lower Lobe Compartment ","002","2016","12","22","BDE8C950803F203C69FB4CBF1D43FECD","","","0"
"AMM","DMC-1KC46-A-05-41-0100-12A0A-310A-A","INTERNAL - ZONAL (GV): Area Aft of Forward Lower Lobe Compartment ","002","2016","12","22","L7A271D402EF2644C3EB43AB9470CBA3","","","0"
"AMM","DMC-1KC46-A-05-41-0100-13A0A-310A-A","INTERNAL - ZONAL (GV): Area Above Wing Center Section","002","2016","12","22","O6A3A2B943AADEB6A542A2F19029F924","","","0"
"AMM","DMC-1KC46-A-05-41-0100-14A0A-310A-A","INTERNAL - ZONAL (GV): Wing Center Section ","004","2016","12","22","JD0ED818EE929F146D82655C56B3D1BA","","","0"
"AMM","DMC-1KC46-A-05-41-0100-15A0A-310A-A","INTERNAL - ZONAL (GV): Environmental Control System (ECS) Bay ","002","2016","12","22","I55327AEB7A37A4E27012EA5A1E250EB","","","0"
"AMM","DMC-1KC46-A-05-41-0100-16A0A-310A-A","INTERNAL - ZONAL (GV): Keel Beam - Forward Section ","001","2015","12","22","JC4DBF7909FE16BAA526EFF827DB9BAF","","","0"
"AMM","DMC-1KC46-A-05-41-0100-17A0A-310A-A","INTERNAL - ZONAL (GV): Area Above Main Landing Gear Wheel Well","002","2016","12","22","I285B4ED1560E1E51FC30ED29C56636A","","","0"
"AMM","DMC-1KC46-A-05-41-0100-18A0A-310A-A","INTERNAL - ZONAL (GV): Left Main Landing Gear Wheel Well","002","2016","12","22","G35966494CC5953B157D71F1CFD7DAF8","","","0"
"AMM","DMC-1KC46-A-05-41-0100-19A0A-310A-A","INTERNAL - ZONAL (GV): Right Main Landing Gear Wheel Well","002","2016","12","22","K8325F52B03FBC5D2A6F1186F4BDFEC1","","","0"
"AMM","DMC-1KC46-A-05-41-0100-20A0A-310A-A","INTERNAL - ZONAL (GV): Keel Beam - Aft Section ","002","2016","12","22","A5F0331806820E9A1D2046B9309B81C7","","","0"
"AMM","DMC-1KC46-A-05-41-0100-21A0A-310A-A","INTERNAL - ZONAL (GV): Area Forward of Aft Lower Lobe Compartment","002","2016","12","22","KAFEF16C299DA1543BCA04177FAE2014","","","0"
"AMM","DMC-1KC46-A-05-41-0100-22A0A-310A-A","INTERNAL - ZONAL (GV): Aft Lower Lobe Compartment ","001","2015","12","22","F52277498B25B4C0799E6A75D77E26F5","","","0"
"AMM","DMC-1KC46-A-05-41-0100-23A0A-310A-A","INTERNAL - ZONAL (GV): Aft Lower Lobe Compartment ","002","2016","12","22","L61CCEB6D48A227B81F5F6EA4C41D523","","","0"
"AMM","DMC-1KC46-A-05-41-0100-24A0A-310A-A","INTERNAL - ZONAL (GV): Area Below Aft Lower Lobe Compartment ","002","2016","12","22","G025056C844BA6946362522029EE58C5","","","0"
"AMM","DMC-1KC46-A-05-41-0100-25A0A-310A-A","INTERNAL - ZONAL (GV): Aerial Refueling Panoramic Camera Fairing","002","2016","12","22","KF649790137CF0AD79DDDD913C1F7900","","","0"
"AMM","DMC-1KC46-A-05-41-0100-26A0A-310A-A","INTERNAL - ZONAL (GV): Centerline Drogue System (CDS) Compartment [BS 1384.0 to BS 1529.0] ","002","2016","12","22","BBBA2305150C281B57BE9E421DBE958E","","","0"
"AMM","DMC-1KC46-A-05-41-0100-27A0A-310A-A","INTERNAL - ZONAL (GV): Area Forward, Aft, Outboard, and Above Centerline Drogue System (CDS) ","002","2016","12","22","K3D36509FACE9A5612A6D1BF91735CA3","","","0"
"AMM","DMC-1KC46-A-05-41-0100-28A0A-310A-A","INTERNAL - ZONAL (GV): Aerial Refueling Boom Fairing ","002","2016","12","22","L5CAAA6C1416DC03A3FF7AD4A5AA4045","","","0"
"AMM","DMC-1KC46-A-05-41-0100-29A0A-310A-A","INTERNAL - ZONAL (GV): Area Forward of Aft Pressure Bulkhead ","002","2016","12","22","N816EFF2BD9AAF13F2B47A032D75DED3","","","0"
"AMM","DMC-1KC46-A-05-41-0100-30A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Forward Upper Half Left","001","2015","12","22","O53D0FF761736CA370122605D34151C7","","","0"
"AMM","DMC-1KC46-A-05-41-0100-31A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Forward Upper Half Right","001","2015","12","22","J439E0D8D6DA3CC87D2BE0AE9B6DB96D","","","0"
"AMM","DMC-1KC46-A-05-41-0100-32A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Forward Lower Half Left","002","2016","12","22","B33C5575D9D4782997224FC15ED9848E","","","0"
"AMM","DMC-1KC46-A-05-41-0100-33A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Forward Lower Half Right ","002","2016","12","22","N74BEBAB4EA30A3CF768DB1C15BBCA3F","","","0"
"AMM","DMC-1KC46-A-05-41-0100-34A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Aft Upper Half Left","002","2016","12","22","DE44A1AB77F380E1C97935DA387E2726","","","0"
"AMM","DMC-1KC46-A-05-41-0100-35A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Aft Upper Half Right ","002","2016","12","22","B8B16F750003F6FA4DEF37F4EDBBA41D","","","0"
"AMM","DMC-1KC46-A-05-41-0100-36A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Aft Lower Half Left ","002","2016","12","22","E758297281D994D2EF3900F8D895FB81","","","0"
"AMM","DMC-1KC46-A-05-41-0100-37A0A-310A-A","INTERNAL - ZONAL (GV): Wing-to-Body Fairings - Aft Lower Half Right","002","2016","12","22","GEB40C4CF2E9F0BCA8027967987FEF9E","","","0"
"AMM","DMC-1KC46-A-05-41-0100-38A0A-310A-A","INTERNAL - ZONAL (GV): Aerial Refueling Boom System","001","2017","10","22","F884F15817909A1738A0C8659C05E679","","","0"
"AMM","DMC-1KC46-A-05-41-0200-01A0A-010A-A","ZONE 200 - UPPER FUSELAGE - MAINTENANCE PRACTICES","002","2016","12","22","P21B25DF6949B47DF2DDFD99CA3B4C65","","","0"
"AMM","DMC-1KC46-A-05-41-0200-02A0A-310A-A","EXTERNAL - ZONAL (GV): Upper Half of Fuselage - Exterior ","001","2015","12","22","GE89333188E23D443813CB7DBEC6C4D3","","","0"
"AMM","DMC-1KC46-A-05-41-0200-03A0A-310A-A","INTERNAL - ZONAL (GV): Flight Compartment","004","2016","12","22","I09407648DE29C8CED9915AD6D186D89","","","0"
"AMM","DMC-1KC46-A-05-41-0200-04A0A-310A-A","INTERNAL - ZONAL (GV): Flight Compartment ","004","2016","12","22","P862B1044DF4AF81A58944D8027AAF01","","","0"
"AMM","DMC-1KC46-A-05-41-0200-05A0A-310A-A","INTERNAL - ZONAL (GV): Aircrew Member Compartment","001","2015","12","22","A980008B8DD7F954933C0A3015496902","","","0"
"AMM","DMC-1KC46-A-05-41-0200-06A0A-310A-A","INTERNAL - ZONAL (GV): Aircrew Member Compartment","004","2016","12","22","M213E0253AA4B6C1CA047EC10B33D609","","","0"
"AMM","DMC-1KC46-A-05-41-0200-07A0A-310A-A","INTERNAL - ZONAL (GV): Area Above Aircrew Member Compartment Ceiling","004","2016","12","22","N6D94A0457A860034A38089CB5401C46","","","0"
"AMM","DMC-1KC46-A-05-41-0200-08A0A-310A-A","INTERNAL - ZONAL (GV): Aerial Refueling Receptacle Compartment ","004","2016","12","22","M33D3AB2B900C8B0EE8D72B088DFADAF","","","0"
"AMM","DMC-1KC46-A-05-41-0200-09A0A-310A-A","INTERNAL - ZONAL (GV): Main Deck [BS 463.5 to BS 785.9]","001","2015","12","22","EB2CF4F6B7F9E16B1AE65FACC96E577A","","","0"
"AMM","DMC-1KC46-A-05-41-0200-10A0A-310A-A","INTERNAL - ZONAL (GV): Main Deck [BS 463.5 to BS 785.9]","004","2016","12","22","NE734008994BB26B4506AEF0A577F9CD","","","0"
"AMM","DMC-1KC46-A-05-41-0200-11A0A-310A-A","INTERNAL - ZONAL (GV): Area Above Main Deck Ceiling [BS 463.5 to BS 785.9] ","004","2016","12","22","G4392C13523DC88E9B5CBE9D34970C5D","","","0"
"AMM","DMC-1KC46-A-05-41-0200-12A0A-310A-A","INTERNAL - ZONAL (GV): Main Deck [BS 785.9 to BS 1065.0] ","001","2015","12","22","I3EB9AF4375CB2F4F0A13CC8F851C72D","","","0"
"AMM","DMC-1KC46-A-05-41-0200-13A0A-310A-A","INTERNAL - ZONAL (GV): Main Deck [BS 785.9 to BS 1065.0]","004","2016","12","22","H7BADD01D5284B7F24C6906CD8BDE9E9","","","0"
"AMM","DMC-1KC46-A-05-41-0200-14A0A-310A-A","INTERNAL - ZONAL (GV): Area Above Main Deck Ceiling [BS 785.9 to BS 1065.0] ","004","2016","12","22","I8AA2E82532CA4F7EE5C7965AAEBCDE9","","","0"
"AMM","DMC-1KC46-A-05-41-0200-15A0A-310A-A","INTERNAL - ZONAL (GV): Main Deck [BS 1065.0 to BS 1636.0] ","001","2015","12","22","MB0EF655812583BBEE073F788C4641BD","","","0"
"AMM","DMC-1KC46-A-05-41-0200-16A0A-310A-A","INTERNAL - ZONAL (GV): Main Deck [BS 1065.0 to BS 1636.0]","004","2016","12","22","H60DE8EB47AA31306EB38865DCCC57A9","","","0"
